id,title,category1,T5_rank,T5_S_scale,T5_S_score
20606932,মাথিউড়া চা বাগানে শ্রমিকদের কর্মবিরতি,অর্থনীতি,2.0,0.875,87.5
20610530,"

ড্রোন থেকে গাপ্পি সবই ব্যর্থ, মশা বেড়ে দ্বিগুণ
",অর্থনীতি,2.0,0.875,87.5
20606825,"

তিন জেলায় অগ্নিকাণ্ডে ৯ দোকান ও ৯ ঘর পুড়ে গেছে
",অর্থনীতি,2.0,0.875,87.5
20610533,"

বিশ্বের দূষিত শহরের তালিকায় তৃতীয় ঢাকা
",অর্থনীতি,2.0,0.875,87.5
20606823,"
রাজপথে মৃত্যুর হানা 
একই পরিবারের ৪ জনসহ নিহত ৮
",অর্থনীতি,2.0,0.875,87.5
20610537,"

হিলি স্থল বন্দরে দিয়ে ৩০০ টন পেঁয়াজ আামদানি
",অর্থনীতি,2.0,0.875,87.5
20610540,ঈদ উপলক্ষ্যে নতুন টাকার নোট পাওয়া যাবে যেসব ব্যাংকে,অর্থনীতি,2.0,0.875,87.5
20610542,যুক্তরাষ্ট্রের বাজারে কমেই চলেছে তৈরি পোশাক রপ্তানি,অর্থনীতি,2.0,0.875,87.5
20606812,"

কমোডিটি এক্সচেঞ্জের নিবন্ধন সনদ পেল চট্টগ্রাম স্টক
",অর্থনীতি,2.0,0.875,87.5
20611060,"

ফ্লাইওভারে দুমড়ে-মুচড়ে যাওয়া অটো থেকে চালকের লাশ উদ্ধার
",অর্থনীতি,2.0,0.875,87.5
20610528,"

ঢাকার সাথে ৩ ঘণ্টা পর উত্তর-দক্ষিণের ট্রেন চলাচল স্বাভাবিক
",অর্থনীতি,2.0,0.875,87.5
20606810,"

'এমভি আবদুল্লাহ' ছিনতাইয়ের ঘটনায় শিপার্স কাউন্সিলের চেয়ারম্যানের উদ্বেগ
",অর্থনীতি,2.0,0.875,87.5
20611068,"

সর্বনিম্ন ফিতরা ১১৫, সর্বোচ্চ ২৯৭০ টাকা
",অর্থনীতি,2.0,0.875,87.5
20611070,"গ্লোবাল বাকু কনফারেন্সে বিশ্ব নেতাদের উদ্দেশ্যে ড. ইউনূসের ভাষণ, ইউনেস্কা থেকে 'দি ট্রি অব পিস' পুরস্কার গ্রহণ",অর্থনীতি,2.0,0.875,87.5
20611073,মালয়েশিয়া থেকে দেশে ফিরলেন আড়াই হাজারের বেশি প্রবাসী,অর্থনীতি,2.0,0.875,87.5
20611074,ঈদ উপলক্ষে ৪১ রুটে চলবে বিশেষ লঞ্চ,অর্থনীতি,2.0,0.875,87.5
20606882,গ্যাস সংকটে ধুঁকছে শিল্প,অর্থনীতি,2.0,0.875,87.5
20611078,এ বছরের ফিতরা কত জানালো ইসলামিক ফাউন্ডেশন,অর্থনীতি,2.0,0.875,87.5
20612135,"

পাবনায় বয়লার বিস্ফোরণে শিশুসহ নিহত ২
",অর্থনীতি,2.0,0.875,87.5
20612138,"

বাজার নিয়ন্ত্রণে ৩০ প্রতিষ্ঠানকে চাল আমদানির অনুমতি
",অর্থনীতি,2.0,0.875,87.5
20612139,"

নাঙ্গলকোটে ৪ দিন পর ট্রেন চলাচল স্বাভাবিক
",অর্থনীতি,2.0,0.875,87.5
20611066,"

দাদির জানাজায় যাওয়ার পথে ট্রাকের ধাক্কায় নাতি নিহত
",অর্থনীতি,2.0,0.875,87.5
20610523,"
ইসরাইলকে বাইডেনের সমর্থন 
হোয়াইট হাউসের রমজান অনুষ্ঠান বর্জনের ঘোষণা মুসলিম দলগুলোর
",অর্থনীতি,2.0,0.875,87.5
20606982,চৌদ্দগ্রামে হাত-পা বাঁধা মরদেহ উদ্ধার,অর্থনীতি,2.0,0.875,87.5
20606979,পেকুয়ায় কাদামিশ্রিত পানিতে জ্বলছে আগুন,অর্থনীতি,2.0,0.875,87.5
20606893,শিবচরে ভ্রাম্যমাণ আদালতের অভিযান মাংসসহ তিন দোকানে জরিমানা,অর্থনীতি,2.0,0.875,87.5
20606897,দুর্ঘটনা কমাতে সিলেট পুলিশের ‘বিশেষ সপ্তাহ’,অর্থনীতি,2.0,0.875,87.5
20606901,লালমোহনে ব্যবসায়ীদের সতর্ক করলেন ইউএনও,অর্থনীতি,2.0,0.875,87.5
20606905,কৃষি ব্যাংকে দালালের দৌরাত্ম্য,অর্থনীতি,2.0,0.875,87.5
20606864,"
	তৃতীয় পক্ষের মাধ্যমে দস্যুদের যোগাযোগ 
পণবন্দী নাবিক ও জাহাজ উদ্ধারে আলোচনার দুয়ার খুলছে
",অর্থনীতি,2.0,0.875,87.5
20606931,মুকসুদপুরে একই পরিবারের ৪ নারীসহ নিহত ৫,অর্থনীতি,2.0,0.875,87.5
