id,title,category1,T5_rank,T5_S_scale,T5_S_score
20563601,"

নারীর নেতৃত্বে সৌদি আরবের স্টার্টআপগুলো
",অর্থনীতি,2.0,0.875,87.5
20563696,"
রাজপথে মৃত্যুর হানা 
মোটরসাইকেল দুর্ঘটনায় ৫ জনসহ নিহত ৭ 
সিলেটে পিকআপ-লেগুনার সংঘর্ষে আরো ৬ জন নিহত
",অর্থনীতি,2.0,0.875,87.5
20566543,২৯ পণ্যের মূল্য বেঁধে দেয়া অযৌক্তিক: দোকান মালিক সমিতি,অর্থনীতি,2.0,0.875,87.5
20563691,"
চরে গিয়ে প্রতিবাদী অবস্থান ধর্মঘট 
কর্ণফুলী নদীর মাঝখানে বর্জ্য শোধনাগার স্থাপনের উদ্যোগ চসিকের!
",অর্থনীতি,2.0,0.875,87.5
20566791,"

সম্পদ বিবরণী জমা দেয়ার বাধ্যবাধকতা বাতিল হলে দুর্নীতি উৎসাহিত হবে : টিআইবি
",অর্থনীতি,2.0,0.875,87.5
20563687,"

   ঈদের পর কাওরানবাজারের ঝুঁকিপূর্ণ ভবন ভেঙে ফেলা হবে : মেয়র আতিক
",অর্থনীতি,2.0,0.875,87.5
20563686,"

কুয়ালালামপুর হাইকমিশন থেকে আর ট্র্যাভেল পারমিট দেয়া হবে না
",অর্থনীতি,2.0,0.875,87.5
20566800,"

ভাড়া বেশি নিলে সেই বাস বন্ধের হুঁশিয়ারি মালিক সমিতির
",অর্থনীতি,2.0,0.875,87.5
20566804,সিলেটের জৈন্তা গেইটে এলাকাবাসীর অবরোধ,অর্থনীতি,2.0,0.875,87.5
20563701,"

ভারত থেকে  ৭৭ কোটি টাকার মসুর ডাল আমদানি করা হচ্ছে
",অর্থনীতি,2.0,0.875,87.5
20567586,"

স্বর্ণের দাম রেকর্ড পরিমাণ বাড়ার পর এবার কমলো
",অর্থনীতি,2.0,0.875,87.5
20563674,"

নামীদামি  ব্র্যান্ডের নকল ফোন অর্ধেক দামে বিক্রি করে তারা চক্রের ৩ জন গ্রেফতার
",অর্থনীতি,2.0,0.875,87.5
20563672,"

পাঁচ দফা দাবিতে জাতীয় প্রেস ক্লাবে বিড়ি শ্রমিকদের মানববন্ধন
",অর্থনীতি,2.0,0.875,87.5
20567611,তাহিরপুর সীমান্তে কয়লা আনতে গিয়ে দুই শ্রমিকের মৃত্যু,অর্থনীতি,2.0,0.875,87.5
20563665,"

চট্টগ্রাম নগরজুড়ে মশার দাপটে নাগরিকরা অসহায়
ওষুধের কার্যকারিতা নিয়ে প্রশ্ন
",অর্থনীতি,2.0,0.875,87.5
20563661,"

 চট্টগ্রাম মহানগরী ও বাঁশখালীতে ইফতারসামগ্রী বিতরণ
",অর্থনীতি,2.0,0.875,87.5
20563660,"

বরিশালে অতিরিক্ত দামে পণ্য বিক্রি করায় ৫ ব্যবসায়ীর অর্থদণ্ড
",অর্থনীতি,2.0,0.875,87.5
20563658,"

মাধবদীতে সিজারের সময় মাসহ নবজাতকের মৃত্যু
",অর্থনীতি,2.0,0.875,87.5
20563657,"

রাজাপুরে ট্রান্সফর্মার চুরির হিড়িক
",অর্থনীতি,2.0,0.875,87.5
20563677,"
কক্সবাজার ফাঁকা 
কর্মচারীদের অগ্রিম বেতন-বোনাস দিয়ে বাধ্যতামূলক ছুটি
",অর্থনীতি,2.0,0.875,87.5
20563702,"

পদ্মার নাব্যতা রক্ষার চেষ্টা ব্যর্থ অবশেষে এক্সিমে বিলীন
",অর্থনীতি,2.0,0.875,87.5
20563704,"

৪ দিনের সফরে ঢাকায় সুইডেনের রাজকুমারী
",অর্থনীতি,2.0,0.875,87.5
20566219,"

ফ্রান্সে কমিউনিটি মসজিদের ইফতার মাহফিল
",অর্থনীতি,2.0,0.875,87.5
20563762,সিদ্ধিরগঞ্জে বকেয়া বেতনের দাবিতে সড়ক অবরোধ করে শ্রমিকদের বিক্ষোভ,অর্থনীতি,2.0,0.875,87.5
20563746,আয়ারল্যান্ডকে বিশেষ অর্থনৈতিক অঞ্চল দেবে বাংলাদেশ,অর্থনীতি,2.0,0.875,87.5
20563745,মরণফাঁদ জৈন্তাপুর পিকআপ-লেগুনার সংঘর্ষে নিহত ৬,অর্থনীতি,2.0,0.875,87.5
20563780,সন্ত্রাসী কায়দায় অভিযান চলছে,অর্থনীতি,2.0,0.875,87.5
20563786,মাদারগঞ্জে সমবায় সমিতির গ্রাহকদের মানববন্ধন,অর্থনীতি,2.0,0.875,87.5
20563740,সিলেটে ফুটপাথ দখল করে ব্যবসা সিসিক’র জরিমানা,অর্থনীতি,2.0,0.875,87.5
20563788,শতকষ্টেও পেশা বদলাননি তাজু,অর্থনীতি,2.0,0.875,87.5
20563791,ওসমানীনগরে দু’দিন ধরে মাংসের দোকান বন্ধ,অর্থনীতি,2.0,0.875,87.5
20563728,"শেয়ারবাজারে বড় দরপতন, তিন বছরের মধ্যে সর্বনিম্ন সূচক",অর্থনীতি,2.0,0.875,87.5
20563801,কীর্তনখোলায় লঞ্চের পাখার কাটায় ছিন্নভিন্ন জেলে,অর্থনীতি,2.0,0.875,87.5
20563724,"

মিসরের সাথে কৌশলগত সম্পর্ক জোরদারের পথে ইইউ
",অর্থনীতি,2.0,0.875,87.5
20563802,চলে গেলেন ১১ জন আরও ১০ জন সংকটাপন্ন,অর্থনীতি,2.0,0.875,87.5
20563803,"এক্সিমে বিলীন পদ্মা, এরপর কোনটি?",অর্থনীতি,2.0,0.875,87.5
20563720,"

 তাহিরপুরে আগুনে পুড়ল ৮টি দোকান
",অর্থনীতি,2.0,0.875,87.5
20563807,ঝিনাইদহে ট্রাক ভিড়িয়ে ৪০০ মণ ধান চুরি,অর্থনীতি,2.0,0.875,87.5
20564977,"

বিপণন কর্মকর্তাদের নিয়ে হামদর্দের জুম মিটিং
",অর্থনীতি,2.0,0.875,87.5
20565787,"

মশা মারার বাজেট বাড়ে, মশাও বাড়ে
",অর্থনীতি,2.0,0.875,87.5
20566095,"

৫ ঘণ্টা পর ঢাকার সাথে উত্তরবঙ্গের রেল যোগাযোগ স্বাভাবিক
",অর্থনীতি,2.0,0.875,87.5
20566096,"

উপকূলীয়দের জীবনমান দেখতে খুলনায় সুইডেনের রাজকন্যা
",অর্থনীতি,2.0,0.875,87.5
20563656,"

একই স্থানে দুর্ঘটনায় ৪ মাসে ৫০ জন হতাহত
ঢাকা-চট্টগ্রাম মহাসড়ক
",অর্থনীতি,2.0,0.875,87.5
20563655,"

কাপ্তাই  হ্রদে জেগে ওঠা চরে ফসলের সমারোহ
",অর্থনীতি,2.0,0.875,87.5
20567601,"

নারায়ণগঞ্জের বাজারগুলোতে হঠাৎ পেঁয়াজের দাম অর্ধেকে নামল
",অর্থনীতি,2.0,0.875,87.5
20569671,"

উপকূলীয়দের জীবনমান দেখতে সুইডেনের রাজকন্যার খুলনা পরিদর্শন
",অর্থনীতি,2.0,0.875,87.5
20569668,"

ফালাহ-ই-আম ট্রাস্টের ইফতার মাহফিল অনুষ্ঠিত
",অর্থনীতি,2.0,0.875,87.5
20563630,"

ভারতের রাজনৈতিক দলগুলোর শীর্ষ চাঁদাদাতা ‘লটারি কিং’
",অর্থনীতি,2.0,0.875,87.5
20569669,"

এবার রাজশাহীতে সর্বনিম্ন ফিতরা ৯৫ টাকা নির্ধারণ
",অর্থনীতি,2.0,0.875,87.5
20570044,"শিবচরে ভেজাল গুড় ও তরমুজের দোকানে অভিযান, জরিমানা",অর্থনীতি,2.0,0.875,87.5
20570045,গাজীপুরে সিলিন্ডার বিস্ফোরণে দগ্ধ আরও ১ জনের মৃত্যু,অর্থনীতি,2.0,0.875,87.5
20563620,"
দেশে কোটিপতির সংখ্যা বাড়ছে  
সংখ্যাগরিষ্ঠরা শোষিত বঞ্চিত 
",অর্থনীতি,2.0,0.875,87.5
20570046,"সোনার খনিতে ধস, ৪১০ ফুট গভীরে আটকা পড়েছে ১৩ শ্রমিক",অর্থনীতি,2.0,0.875,87.5
20569666,"

ব্যাবসায়ীদের জন্য অ্যাপস হচ্ছে, কোনো মধ্যস্বত্বভোগী থাকবে না : বাণিজ্য প্রতিমন্ত্রী
",অর্থনীতি,2.0,0.875,87.5
20570434,"

তীব্র পানি-গ্যাস সঙ্কটে রাজধানীর কয়েকটি এলাকার বাসিন্দারা
",অর্থনীতি,2.0,0.875,87.5
20570449,"

২৯ পণ্যের মূল্য নির্ধারণের সিদ্ধান্ত প্রত্যাহারের দাবি দোকান মালিক সমিতির
",অর্থনীতি,2.0,0.875,87.5
20563610,"
মালিক সমিতির অভিযোগ 
রেস্তোরাঁ মালিকদের হুমকি দিয়ে চাঁদা নেয়া হচ্ছে
",অর্থনীতি,2.0,0.875,87.5
20563609,"

 ‘এমভি আবদুল্লাহ’ ছিনতাইয়ের ঘটনায় শিপার্স কাউন্সিলের চেয়ারম্যানের উদ্বেগ
",অর্থনীতি,2.0,0.875,87.5
20563607,"

 বরগুনায় ১০ টাকায় রোজার বাজার
",অর্থনীতি,2.0,0.875,87.5
20563605,"

ঈদ ঘিরে সরগরম শপিংমল ফুটপাথ
",অর্থনীতি,2.0,0.875,87.5
20570454,"

গাজীপুরে সিলিন্ডার বিস্ফোরণ : মৃত বেড়ে ১২
",অর্থনীতি,2.0,0.875,87.5
20571248,"

তীব্র পানি-গ্যাস সঙ্কটে রাজধানীর বাসিন্দারা
",অর্থনীতি,2.0,0.875,87.5
20570441,"

কুমিল্লায় ট্রেন দুর্ঘটনা : ২ দিনেও সচল হয়নি আপলাইন
",অর্থনীতি,2.0,0.875,87.5
20569664,"

হাতিয়ায় আসছেন সুইডেনের রাজকন্যা ভিক্টোরিয়া
",অর্থনীতি,2.0,0.875,87.5
20563752,সুইডেনের রাজকন্যা ঢাকায়,অর্থনীতি,2.0,0.875,87.5
20563645,"

ওয়ালটন ফ্রিজ কিনে ৩২তম মিলিয়নিয়ার হলেন ভ্যানচালক হুমায়ুন 
",অর্থনীতি,2.0,0.875,87.5
20563644,"

বঙ্গবন্ধুর জন্মবার্ষিকী উপলক্ষে ইসলামী ব্যাংকের আলোচনা সভা
",অর্থনীতি,2.0,0.875,87.5
20563650,"

বঙ্গবন্ধুর জন্মদিনে শিশুদের মধ্যে বই ও ইফতার বিতরণ এনআরবিসি ব্যাংকের
",অর্থনীতি,2.0,0.875,87.5
