id,title,category1,T5_rank,T5_S_scale,T5_S_score
20579031,"

ঈদের ছুটির আগেই পোশাকশ্রমিকদের বেতন-বোনাস দেয়ার নির্দেশ
",অর্থনীতি,2.0,0.875,87.5
20573875,"

ফ্রান্সে বাংলাদেশ মসজিদ ও ইসলামিক সেন্টারে ইফতার মাহফিল
",অর্থনীতি,2.0,0.875,87.5
20576475,"

জাতিসঙ্ঘ সংস্থার প্রধানকে গাজায় প্রবেশের অনুমতি দেয়া উচিত : যুক্তরাষ্ট্র
",অর্থনীতি,2.0,0.875,87.5
20576476,"
কম খরচে বেশি লাভ 
ভুট্টা চাষে ঝুঁকছে শৈলকুপার চাষিরা
",অর্থনীতি,2.0,0.875,87.5
20573872,"

৩ কোটি ডলারের শেয়ার পেল শিশু
",অর্থনীতি,2.0,0.875,87.5
20573871,"

সম্পদবিবরণী জমার বাধ্যবাধকতা বাতিল দুর্নীতিকে উৎসাহিত করবে
বিধিমালা সংশোধন নিয়ে টিআইবির উদ্বেগ
",অর্থনীতি,2.0,0.875,87.5
20573870,"
	স্টিল শিল্প রক্ষায় ৬ দফা দাবি 
ডলার, বিদ্যুৎ ও গ্যাসের মূল্যবৃদ্ধিতে চরম সঙ্কট
",অর্থনীতি,2.0,0.875,87.5
20573868,"
	রোজার মধ্যে দ্রব্যমূল্যের ঊর্ধ্বগতি  
 যশোরে এখনো টিসিবির পণ্য বিক্রি শুরু না করায় ক্ষুব্ধ ১ লাখ ৩৭ হাজার সুবিধাভোগী 
",অর্থনীতি,2.0,0.875,87.5
20576490,রিমার্ক-হারল্যানের সাথে যুক্ত হলেন নুসরাত ফারিয়া,অর্থনীতি,2.0,0.875,87.5
20573861,"

রাতারাতি অর্ধেকে পেঁয়াজের দাম
",অর্থনীতি,2.0,0.875,87.5
20573860,"
	পুঁজিবাজার নিয়ে ডিবিএর সিদ্ধান্ত 
মার্জিন বিধিমালা সংস্কার ও ভালো কোম্পানির আইপিও দরকার
",অর্থনীতি,2.0,0.875,87.5
20576757,"

বাস ও মাইক্রোর মুখোমুখি সংঘর্ষে নিহত ৫
",অর্থনীতি,2.0,0.875,87.5
20576759,"

নীলফামারীতে ট্রাক ও অটোরিকশার মুখোমুখি সংঘর্ষে নিহত ২
",অর্থনীতি,2.0,0.875,87.5
